,Filename,Prompt,Language,Score Level,Text
1741,298412.txt,P7,DEU,high,"I agree entirely with the opinion that it is more vital for students to comprehend ideas and concepts than it is for them to learn mere facts .

Why study facts , or even worse , learn them by heart to pass final examinations when you will forget most of them shortly afterwards , anyway ?
Therefore , it can be far more beneficial to focus on teaching the general understanding of ideas and concepts .
Research in psychology has proven that you will remember far more easily anything you have understood instead of learning it by heart .
And normally , you learn facts by heart because there is not much to understand .

Moreover , in an increasingly dynamic environment , both in professional and private terms , the learning of facts could be in vain .
Circumstances change more and more rapidly .
What was important to know now could be replaced by completely other facts who have to know in a couple of years .
That is the case , for instance , if you have to change your profession as a result of structural change of the employment market .
As a matter of fact , experts say that these kind of structural changes will occur more and more frequently , so many people actually will have to change their profession several times during their life .

The understanding of ideas and concepts can also be helpful in any profession as it offers a larger flexibility .
You cannot study all kind of solutions to a problem by learning facts .
Because the problem is , that as a student you cannot possibly know what kind of concrete problems you will have to face later on in life .
As a result , it is far more important that you learn and train a certain approach to solve problems , by concentrating on studying major ideas and general concepts instead of investing too much time into learning facts .

In conclusion , I would like to state again that the understanding of ideas and concepts is more important because it is in every respect more beneficial to the preparation for a increasingly dynamic environment .
It is easier to remember ideas and concepts than it is to remember facts and , last not least , ideas and concepts are more useful as they allow are larger flexibility to new challenges .
"
4573,793071.txt,P2,ITA,medium,"First of all i do not agree with the statement which says that young people enjoy their life more than older peolple .
I think that the way to enjoy life is different but this not imply what the statement says .

Today young people can enjoy in several ways , respect one or two generations ago because is permited almost everything : for example have the car very early , to go out every weekend and spend a lot of money to take drinks and to go to the disco with some friends .

They can also enjoy themself organizing some party between compains of school or university .
A friend of mine told me that he went to Danmark as erasmus student and he descibed me that experience as a beautiful thing .
Every day he enjoyed his life going to erasmus party that took place almost every evening in the university place .
He told me also that the mainly enjoy it was the beer and the disco .

In stead , the fact that the older persons do not do the same things it does not mean that they enjoy less : they have only other interestes .
The major part of older persons are married and for this reason the prefer enjoy their free time going , for example , to the cinema to watch a particular film , or to go to the restaurant for a romantic dinner .
Of course many older people could have son or daughter and this imply that they do not have the same time respect the young people , to spend for enjoy themself .

The have to do a lot of thing into house and at the work .
"
3688,642012.txt,P7,ARA,medium,"Actually I disagree , Since learning facts is the main part of building an idias or concepts , which will be reflected on the amount of facts they learned .
The much you learn and study about facts and information , The much the clear idias will be ready to speak out about .
Many people sponsered an idais that do not stand or reflect any facts , These will be very fragil and will not found any field of practice since its not factual concepts .
So in order to be in the way of good learning way we have to make sure we study the important basics and learn more facts in order to be able and more confedent to have a new idia and getting more advance in the field of knowledge .

For me , understanding idias is secondary to learning the other part of facts and information since not all idias are correct or in other way it is still a theory rather than approved facts , So concentrating on this veiw of teaching the student will be more important to be in the side of producing a logical and practical type of mentality and getting more beneficial idias as we reflecting all on facts and concepts .

Further the more , It is really interesting to explain that facts and concepts are only the way to understand all idias as with out these facts we can not progress to a matter of making theories and adopting a new concept in any field of life .

Students are more willing to learn when they feel they are standing on a solid base that help them to understand more idias and they can learn fast when they feel more confortable with the way of getting the informatin and this will be through learning facts first the understanding the concepts .
"
4040,700825.txt,P7,ITA,high,"I believe that facts can be learned in many different ways and that school has a different object than teaching students facts .
A school 's duty is to both prepare the student for his entrance in real life , and to open a student 's mind through the constant teaching of concepts and ideas everytime more difficult .

Facts must be examined and fully explored in order to understand what lies beneath them .
Facts are nothing more then the final chapter of many causes put together .
Why birds migrate every year , why people cry when they are sad or why the sky is clear or cloudy ?
All of these questions could not be answered only by observation .
The laws of cause and effect studied during the past centuries explain us the importance to know the basic concepts that rule the world .
Every phenomenon , every situation or consequence come from a precise cause .
If we can know that cause then we are able to control the consequence , weather we want to repete it or avoid it .

I believe that the primary objective of universities , or schools in general , is to give to their scholars as many informations as possible .
Then , it will be the studient who will decide how to use these informations .
Facts can teach you many things , they can show you all the possibile outcomes for every event , and they can help you to predict the future based on previous episodes .
But facts alone , I believe , can not be consider enough for somebody 's growth .
"
10310,1676579.txt,P8,KOR,low,"I agree that successful people try new things and take risks rather than only doind what they already know how to do well .
"
8763,1384177.txt,P8,TEL,low,"I agree with the statement `` sucessful people try new things and take new risks rather than only doing what they already know how to do '' , because a successful person may have confidence which may not there in unsuccessful person .
By this confidence they take risks and also works harder to get success .
Avoiding pressure is the one of the important factor for a person to acheive success , but the unsuccessful persons are in pressure which leads them not to do risks at that period .
A successful may ovecome the pressure which is not possible for a unsuccessful person .

For example , consider business people , the person who gains profit in bussiness may try to do risks by perfoming different plans .
These people can withstand for any type of result that may give profit or loss , but the person who is in loss will never try to do risks as the reason that he may face loss if the plan gives negative result which leads the person to huge ammount of loss .

A successful person always need more success which leads In my conclusion , it is not possible for a unsuccessful person to do risks as a successful person can do .
"
3370,584412.txt,P4,DEU,low,"I totally agree with the statement given above that advertisment make products seem much better than they really are .
If you believe everything what the producers say and what they sale then maybe you think that you buy the best product .
But if you know that they give you not all the information , most people recognize the reason behind the advertisement .

For example in politics , during the election , most of the electors vote for the candidate with the best advertisement .
Though they even know their ambitions .
So the politicians waste most of their money to emphasize their popularity .
But it is no matter of fact that the most popular politician makes the best politics .

I think the importants thing is to get into it if you want to be sure to by the best products .
But you should never be sure if an advertisement told you that you bought the best
"
7127,1126521.txt,P7,SPA,medium,"I agree with the statement that says that it is more important for students to understand ideas and concepts than it is for them to learn facts .
First , if I go back in time and I start to do some memories of my time as an students at School and at the University , all those things that I learned it was because I understood the ideas and concepts that my teachers explained to me and my classmates .
When I finally understood the process of the French Revolution I never forget it , because I did n't learned it as a fact .

Second , is really great when you get the concepts of the different things and you can start to make some interesting relations between them and with the experience of your own life .
I think that is nice when you can make questions about what you learned and give some conclutions about it .
I also found that is nice when you meet with friends and you start a conversation with them , talking and exchanging ideas of all those things that in a moment you learned and understand them .
I really have a very good time when I have those kind of opportunities to share with friends what I have learned and also to be sure that I can do my own statements .

Futhermore , I consider that Facts are too weak , you learn this facts for the test and then you erase them .
Is like a foreing learning , from one moment to onother it flyes away , from your mind .
Instead , when you really understand the ideas or concepts yo can be sure that this knowlege will never forget , never more .

Finally I can say that , it is more important for students to understand ideas and concepts than it is for them to learn facts .
"
11090,1818610.txt,P7,SPA,high,"I believe learning ideas and concepts is far more rewarding for students than only learning a bunch of meaningless facts .
Specially as the student start to progress in his knowledge , ideas and concepts should become more and more relevant than facts alone .

Even though the normal process to reach a concept or idea requires us to learn facts before understanding them , it is clearly of higher importance to understand the concept as whole .
In fact , understanding the concepts is the only way to apply all the facts we learn .

For instance , in my working experience I have noticed how two different persons aproach problems .
The first one tries to memorize the solutions and does not care about the underling reasons of the problem .
The second one reaserches the facts for the superior task of understanding the problem as a whole .
Clearly the second one always comes with new and suported ideas on how to resolve the situation , however , the first one is always talking about specific information that does not help the solution at all .

Another example of the higher importance understanding ideas have over learning facts is the following .
When there is a complete understanding of the concept you can apply the same concept to a similar situation regardless of the different facts you may encounter .
Addittionally , the sum of ideas and concept can even form a more complete and complex reasoning for a wide variety of situations .
On the contrary , the sum of facts would not lead us to the same aplication regarding diferent situations .

The fact that ideas and concepts are of higher value is the only fact students should have on their minds as they progress in their knowledge .
I definatly believe it is more important for studentes to understand ideas and concepts than it is for them to learn facts .
"
9273,1481490.txt,P8,ZHO,medium,"I agree that successful people try new things and take risks rather than only doing what they already know how to do well .
It is because that there are lots of things which we want to know in the world .
If we only do well on something we have already known , we may lose our abilities such as thinking .
We also should try new things instead of doing the same things in our lives .

To improve our lives , some inventors make plenty of products which are useful .
To cure patients , doctors do a lot of studies in different ways .
To attain excited experiences , some people do some extreme sports which are very dangerous .
I think these people are successful not only because they try new things and take
"
614,106007.txt,P3,DEU,high,"I agree with the statement , that young people do not give enough time helping their communities .
An article in a German magazine said , that today we live in a world of interships .
Whenever you have free time , you have to spend it sensible , which means by spending it in a way , that it looks good on your curriculum vitae .
Working in your community , helping old people for example , might look good on your CV because by that you can show your social skills .
But if that community work is senseless for your further professional life , you will not do it bacause there is no use for you .
That is how it works today .
Everything you do has to have a sense for your own future .
So if you want to proof your social skills , you would probably prefer picking out an internship or any other service , that is more linked with your future working goal .

One reason for this way of deciding , what to do , is competition .
In my opinion we live in a world of competition .
Not only in school or university , everyone is competing , whether it concerns your schoolmarks or your ability to make new friends .
Everything is a question of competition .

If you plan to work in your community in the future , helping your community is a possibility of raising your chance of getting a job later .
But because of competing against everybody around you , it is kind of out of fashion just to help somewhere out without getting a piece of paper , that says what you have done .

Maybe there are some people , who help their community without expecting to get a document afterwards but I think , this might only be few .
Further there might be persons who would like to hepl , but do not have the time to do so because of their professional life for example .

Helping in fact means , doing something without a reward .
Nobody I know has the time left to do something without getting a reward .

So I guess there are quite a lot of different reasons , wheather it is their profession , their goals or their opinion by not wanting to help their community because people think , nobody would help them , there are not many people left who actually help their community .
And I do not believe , that the number of people , who are willing to help will increase in the future .
"
6910,1106019.txt,P1,ARA,medium,"Some people think that , it would be better to have broad knowledge of different academic subjects because variations of subjects adds to human experience and provides possible solutions in many situations .
Others think it would be better to concentrate on one topic and go on .
Based on my experience , both opinion are helpful according to my grade .

When i was in under graduate school , I was fond of reading and attending different classes which helped me to great extend to pass my exams easily and receive high score .

On the other hand , when I was in physical therapy school I concentrated on only sports medicine classes which helped me to apply for master degree and find convineant job .

Finally both thoughts are important depend on needs and goals .
"
2745,476899.txt,P1,ARA,low,"As we know , there are two methots to study .
The first one is to have broad knowledge od many academic sibkects .
The second one is to specialize in one specific subject , one has his own tast in studing , so let us talk about this subject

For me .
is depend on my own time , If I has big amout of time , I will choose the seconed method .
becase if study in this way of cours , I will gante so much , I also will have alot of information the book I study .
then i will be able to unsderstant all what the teacher will teach us .

On the other hand , If i do n't have much time i will start my studing by the first way , which is all my acadimic subjects not in deply .
Becase this method will help to have some information abuut what my teaters will give us in my classs .

But if you ask my about my opinon , I will tell you that nobody can be fourcied to follow one way , But as I say before , that I feel that the bes way is the second one .
Becouse it will give you s confidous first , in your self and than you will be able to anser any qustion that anyboy wll askes you .
also your teachers will be so happy about your level .

I hope all peoplt
"
7366,1147630.txt,P6,ZHO,medium,"I disagree with the statement which says the best way to travel is in a group led by a tour guide ; instead , I would like to travel alone or with my friends and family without the tour guide .

It 's true that sometimes it 's more economical to travel in a group led by a tour guide .
For example , for those people who are busy with their work and hardly can they spare their time to take a trip , find a travel agency and with a tour guide is a great idea .
Because they do n't have any time to plan their own trip .
But they may not have so much fun as those people who travel alone .

Traveling without a tour guide may be a challenging for me .
Because I am not a person who are afraid of challenge .
As a teenager , I am fond of challenging myself and like to take advertrues as well .
As far as I am concerned , traveling without a tour guild can provide me with more pleasure .
By traveling alone , I can also learn how to take the responsibility and be independent of my parents .
I had this experience when I was in elementary school , I along with my sister took a trip to Hawaii without my parent 's company .
At first , I was so scared to go to a totally strange place .
But after a few days , I found myself enjoying in it .
I thought language would be my biggest problem .
To my astonishment , I can chat with a foreign .
Moreover .
I made progress by leaps and bounds .
I also learned the history their by reading the book .
I never knew traveling alone allow me to learn so many things .
I also had the experience traveled in a group led by a tour guide .
But I found it was not an active way to travel .
In other words , they maneged everything for you .
Besides , I almost had no free time .
Although I really liked those people who traveled with me , by the time we arrived at the airport , everyone had had their own lives to go on .

In conclusion , I disagree with the statement not only because I find it 's much more fun without a tour guide but because I learn much more than a tour guide can teach me .
"
11570,1901524.txt,P7,JPN,medium,"Students have variety oppotunities to learn not only understand ideas and comcepts but also fact .
Concepts are important element for students , however I believe that It is more important for students to learn form fact .

First , throughout real expericences student can growth and understand .
For instance , many people know what death .
However , if people have never met death itself , they cannot understand what the death meaning correctly .
According to my experience , when i heard that somebody passed away , who i do n't know well , i feel sad but that it because i just understand in my head .
On the contrast , when i went to funeral and i met their family or friends and saw their faces , then i noticed about the death 's meaning .

Secondary , there are many students have a chance to live thierselves when they go to university or college .
At that time they know how do they live .
Money is the good example .
When they live with their parents , they know concepts of money but it is not too much taking care of it .
However , when they start to live by themselves they realize how is life going on .
they have to think about thier meals , living costs , leisures , and studying .
They can only learn form facts about that , not from ideas .

Finally , support to each other learns from the facts .
we know how much friends important , or how much family is helpful , and there are coming from not concepts but facts .
If they understanding to help each other is important in thire head , they ca n't support anybody .
From friends , teachres , family support them and when they accept those facts , they can support other people .

We need more thoughtful idea , opinion , concepts and if we lack of those ideas we may not learn well .
Besides , learing from the facts is more important for st
"
1756,302276.txt,P3,HIN,medium,"I disagree with the given statement .
In my opinion , young people do their best to help their community and society .
I can say this with conviction because I myself have done my best to help society .

My grandmother runs a primary school for children with limited means .
Since I was about ten years old , I have been going to this school every summer to do voluteer work .
I have interacted with the children , played games like soccer and cricket with them , taught them extra-curricular activities like dance and painting and even taught the children younger to me academic subjects like math sometimes .
It is a great feeling to be able to give to somone something so important - education .
Some of the children there became my friends and I still do talk to them .
Some of them are in high school now .

My brother too has been doing his bit for the society .
He goes to old age homes .
He interacts with the old people there and reads stories to them .
They are lonely and need someone to talk to .
They feel extremely touched when young children like my brother take out time to come and meet them .
My brother too loves to go and spend time with them .

Many of my friends are into community service as well .
A very good friend of mine , Julia , works closely with mentally challenged patients .
She is also an active volunteer for a school with mentally challenged students .

So , in my opinion , it will not be entirely correct to say that young people do not take out enough time to help their communities .
I do agree that there are exceptions this , that there are people who do not wish to indulge in community service .
However , they are mere exceptions .
"
6450,1064149.txt,P5,DEU,high,"Today almost evey adult has a car .
Most people use their car eveyday , for essential things such as going to work or driving to a supermarket to buy food .
A car is an element of daily life .

Of course in cities where there is a good public transport system , people do not need a car for their daily life .
But in more rural areas or cities where puplic transport is not very effective , there is the need of cars .

Reasons to reduce the number of cars are to protect the environment and the fact that cars and fuel are getting more and more expensive .
Maybe in some years there are no more as many people as today who can afford a car .

On the other hand there is the fact that business and working life gets more and more flexible , spontaneous and individal , and the need to get to a specific place in a short time increases .
And we should not forget the industrial branches that produce cars .

Weighing these points , I came to the conclusion that I do not think the number of cars will decrease .
I want to point out that I think it would be a better development for life on earth if there would be fewer cars in twenty years , but I do not think this will happen .

Today industry that produces cars is still a growing business , and I cannot imagine that this would change in the next few decades .
I study geodesy , and something that I could do later is developing navigation systems .
An example where navigation system are commonly used is in cars .
Many people and companies work and research for new developments in cars and components for cars .
So I do not see a financial reason why fewer cars should be produced in twenty years .

To sum up I want to say that I would be very happy if there were fewer cars in twenty years .
The reason for this opinion is the protection of nature and the environment and to reduce pollution caused by cars .
But I do not think this will happen because business and earning money encourage the production of more and more cars .
And I cannot imagine that business interests will step behind in favour of environmental reasons .
"
1159,190605.txt,P5,FRA,medium,"The great majority of cars are using oil to work .
But , as everyone knows , oil is more and more difficult to find and expensive to extract , as it is a limited ressource .
So , as it is said everywhere , it will be neccessary to limit our consumption .
Then , people 's awarness of ecological issues is growing : people are wondering which world they will leave to their children , and try to take measures to curb the trend : that is why , for example , the Tokyo act try to limit pollution .
At a smallest level , some european cities try to prevent city centers from being overspoilt : in some ones cars are banned from the center , in others they are allowed only every twice day ...
The trend is to make public transport prevailing for daily travels .
Such an evolution can bring us to think we will find less cars in twenty years than today .

But things are not so easy .
First , ecological care does not concern every countries on earth : it develops itself mostly in `` developped countries '' which have already have their industrial revolution .
Developping country , in particular China , have other priorities than ecology and economy of ressources : they want to develop themselves , to challenge Western countries .
And to achieve their goals , they must produce , however it spoil or not .
In the same time , the purchase power in China is increasing , like it did in Europe during the industrial revolution , and massive consommation is coming .
And we can expect it will represent a giant market for all car brands .
That 's why we may so think that we will find more car on earth in twenty years .

The best thing would be that car sells develop , but that we also develop new technologyto make them
"
6100,1034797.txt,P5,DEU,high,"Like wars and foreign policy also a big part of our future depends on oil and fossil-resources .
There are two possibilities in my opinion .
The first one is that there will definitelty be fewer cars in use than today .
Because there might not be enough oil to provide fuel for the millions of cars .
But one has to considers that the consequence is that not only cars are affected .
One could easily say that a car is not that important .
But if there is no fuel left for the cars , there is either non for the bus , for a taxi , for the loanmower and for airplanes .
Nobody will go nowhere .
I personally could take my bike and go to the grocery store , but what for ?
There will be no possibility to do my groceries because the shelves will be empty .
If there is no fuel for cars , then there is no fuel for trucks that take the groceries to the supermarket .
And this is only the peak of the iceberg .
There will be no production , no traffic and even todays hightech might break down .

I do not want to paint this vision of the future too black .
There is another possibility .
Since we know that the whole traffic and one could even say the world is too dependant on fossil resouces such as oil , we could change that .
There so many sophisticated scientists who work on solutions on how to gain energy .
And they have results , like wind and sun als renewable enery resouces .
We could already reduce the need for oil , if we for examlpe buz our vegetables from a farmer in our town .
Then less truck would be needed .
Whatever we do we need to start changing our energy-wasting habits now .
Then in twenty years there might be as many cars as today but they will run with non-fossil energy .
But I do definitely think that there will be less cars that run by fuel in twenty years .
"
