response_E,escore
I would feel annoyed that my friend is late knowing that I have not met these people before. My friend would know that I am not a very social person and that I am not very comfortable around strangers. I would try my best to make conversation with some of the people there. I would look for someone that I would think that I would have things in common with based on first sight. I would likely retreat to somewhere that gives me some space to help me feel more comfortable. I would probably text or call my friend to try to hurry them up and see what time they would get here.,1.166666667
"I would feel really uncomfortable, especially because I do not know anyone besides my friend. I am really awkward in these kinds of situations, so I would have asked before hand if we could drive there together. Since I am alone and don't know anyone, I would wait outside for my friend, or call her and have her talk to me until she gets there. If she doesn't answer, I could play on my phone. If I wait there for a long period of time and she doesn't show, I would just leave. This is no longer fun for me. If I was feeling confident, I might look for someone else who is lonely or by themselves and try to talk to them. Or look for an animal I can pet to keep me company.",2.583333333
I'd feel a bit irritated with my friend and I'd message them immediately to get a realistic estimate of when they were going to arrive. I'd feel awkward and uncomfortable since I didn't really know anyone and I didn't have my own reason to be there. I'd want to leave but I'd stay until my friend arrived provided they weren't going to be more than half an hour late. If they were going to be any longer I'd tell them I wasn't comfortable there and I'd leave. If I was staying I'd quietly observe the party for a while until my friend got there.,4
"This has happened to me. I walked into a person kitchen I did not know and did not see my friend. I felt all the noise around me, I saw the faces that I didn't recognize. I panicked and walked back home. I later sent them a text apologizing that I wasn't there, and that I would catch up with them later. All I could think about was the people might say and expect of me. I had no way of knowing what their social norms were and if they pick up on that I was an outsider. I felt a lot better at home and stayed there.",1.916666667
"It is really difficult to go to a party, or any place in general, alone and try to socialize because it takes a lot of effort but it is achievable. The good thing about going alone when nobody knows is that you can behave in whatever way you want because nobody knows you. Be really social, probably a little flirty. Don't be the guy or girl who is just looking at his or her phone all night. I introduced myself, smile, keep my head up, talk, and have fun. I introduce myself in the beginning, I was interested in what somebody has to say and ask questions while sometimes giving personal stories about the subject or whatever. In the beginning this can be a struggle, look at somebody's body language to find out how they find the conversation.",3.583333333
"I would at first look around the party and double check to make sure that they aren't already there. I would ask around to people if they have seen my friend. I would feel somewhat upset that they were late, but I would understand that it may have been due to circumstances outside of their control and I would reserve my judgement for when I find out what the reason is. I would try and call and text my friend to see if they would respond and tell me where they are and if they are still coming. While I waited I would walk around the party and talk to people and get to know them and what's been happening at the party.",3.083333333
"that would be okay I think, I'd plan to go in and just introduce myself, being totally curious about the situation, explain that my friend was late. Given the description I have no idea what to expect, so in reality depending on the house, the people I spotted, their dress and style and stuff, this might turn out to be a lot harder than I think, but that's what I imagine I'd do. If I felt intimidated for whatever reason I might be inclined to just sit in the car and wait for my friend, feeling too much pressure to just walk in alone, maybe that would be weird now that I think about it. Again it depends largely on the situation.",3.333333333
"I would feel really scared and really anxious, and probably leave early. Why did I go to the party alone and not go to my friend's first? Knowing I hate parties in the first place, why would I risk being alone with people I do not know? I don't know, but I am very nervous around people that I do not know and will just probably find a corner where I can sit and be invisible for the time being, if I couldn't leave myself. I will have this anxious feeling in my stomach and I feel like I will have a panic attack, and it will just consume me.",1.083333333
"I would arrive and wait for my friend. I know that they are running late, but I would keep my attitude positive and scope out the scene. I would feel a bit upset just because they knew that I didn't know anyone and I wasn't very familiar with the crowd of people around at this party. I would grab a drink for myself while I wait. I casually mingle with others and say a quick hello to those who pass by. Perhaps, someone will stop to have a quick conversation. I would try to make the best of the situation that I am in and hope that my friend arrives sooner rather than later.",3.916666667
I would be extremely nervous arriving at ta party where I know no one. I would call my friend immediately to find out where they were. I would try to look like I fit in while there. I may go tot he bathroom and spend a long time there to waste a bit of time. I may walk around and get a drink or something to eat. I would avoid people because I would have too much anxiety to spark up a conversation with a stranger. I would try to stay in the background the best I could until my friend arrived.,1.166666667
"I would feel dumb and lost because I know nobody at the party. If I can find someone besides the host to talk to, I would talk to those people until my friend arrived. If I couldn't find anyone I know I would call my friend and check if they will be there soon. If it's a long delay, I might leave and come back when my friend gets there. If it turns out that I don't know anyone at the party and my friend will not be there for a very long time I would probably leave and go home. It would be too awkward to stay.",3.583333333
"I would feel very awkward and out of place not knowing anyone there. If I could go outside without it being obvious, I'd probably go back out and wait for my friend where I think they'll arrive. If I think it would look weird if I went back outside, then I'd probably try to find where the food and drinks were and head over there. At least with a glass in my hand I probably wouldn't feel as awkward. I might try to find a larger group of people that I could just hang on the edge without having to really engage with anyone.",2.416666667
"I would feel a little irritated that my friend was late, but yet I actually expected it. I would introduce myself to the host and explain to them that I was invited by my friend who is habitually late. After making my introduction, I would try to mingle in the group by introducing myself and asking about the other attendees. Trying to get a feel for the group as I mingle and talk with a variety of people. When my friend finally shows up, I welcome her and offer her some of the refreshments that she had missed by being late. We then mixed with the group of guests and made small talk. I was very interesting and I hopefully made a few new friends from the group. I didn't really feel very uncomfortable, but would have preferred that my friend had been on time. But, all in all, I probably made more new acquaintances by her being late and me just mingling in the group.",4.333333333
"I would feel so awkward. I'm not good around strangers, especially when I don't have a friend or somebody I know to lean on. I don't know how to start conversations very well. Unless somebody approached me and started talking to me, I would probably just pretend to mingle and have a few drinks until my friend for there so I could waste some time. If they ended up being extremely late, I would likely leave so I didn't look weird just standing there not talking to anyone. I could only buy up so much time before people would start noticing how awkward I actually am, and it would become embarrassing.",2.75
"In this scenario, I would feel very, very uncomfortable. I am not very good at being outgoing and meeting new people. I would try to find someone I knew slightly and talk to them. I would focus on any children or pets. I tend to bond with children easily cause they appreciate adults that are willing to be silly or play games. If it were possible at all, I would text my friend when I first got there and ask if she was there yet. If not, I would consider waiting in my car. If I had to go into the party, I could try to find the host and introduce myself and talk to the host about my friend and how we all know each other.",1.833333333
I would look around to see if anyone there was someone I knew and if not I would look for someone who looked interested in meeting someone new. I would pick this person out and go over and introduce myself to them. I would then ask if they knew my friend who was late coming to the party. I would then probably ask them what they do for a living. Then if they seemed interested in what I did I would tell them what I did for a living. We could then go into a discussion about the food that the party was serving and what we thought about it. Hopefully by this time it wouldn't matter if my friend shows up or now because I have met someone new.,4.166666667
"I am usually not too shy of a person these days. I used to be when I was growing up, however no longer. So, I would probably try and connect with the host if they weren't that busy. This way I am sure they would introduce me to others at the party, If they are busy I would probably introduce myself on my own. I think I could feel out the situation and get a pretty good feel of whether we have things in common or not. I would probably stick away from topics such as politics or religion and instead talk about music, movies, or even sports. I think overall I could handle myself fine. If not however, if they seem awkward, I would possibly run out and get some food or run an errand until my friend were free. I don't see this as likely however.",4.833333333
"I'd do what I do in any social situation- be it a bar, a party, a gathering, etc. You eavesdrop on a conversation and then slide in with an opinion with a group that looks socially welcoming. Then gradually introduce yourself, explain why you are there, and then they typically will introduce you to other people. You can then be introduced to the host, the circle of people, and then others as well as they come in and out of that social circle. It just makes things a lot easier that way. Or you can stand by the food are and ask people questions about the food then introduce yourself to them.",4
"I would feel anxious and a bit out place, as most likely I would be in the foyer or the entry way of the venue waiting for my friends arrival. I would feel a bit irritated as I am doing this favor and ensuring I am doing my part. My friend would know how I feel about punctuality so I am sure she has a good reason. None the less, each second that passes by will feel like years. I would feel extremely self-conscience as I would think everyone is looking at me as the awkward girl who no one seems to know. I would regret accepting but feel a lot better once she shows up.",3.75
"At first, I would feel uncomfortable with the fact that my friend was late, but then I would start mingling around attempting to get to know other party goers. I would grab a few drinks to loosen myself up. I would attempt to find the host and introduce myself and thank them for hosting such a nice party. I would attempt to crack a few jokes at my friend's expense, talking about how late he was, since most of them probably know him. My overall goal would be to make myself feel as welcomed as possible by getting to know as many people as I could.",3.916666667
"I would feel very awkward in front of people that I didn't know, especially because I was not invited by any of the people currently at the party. I would likely had to get a drink and look for someone else who is standing alone in order to start a conversation. That way I wouldn't look so weird being by myself. If I couldn't find someone else standing alone I would likely start texting on my phone or maybe scrolling through social media, Again to help with having any attention drawn to myself. I would likely do this until my friend got to the party, but I would be very stressed out and may even become slightly upset with my friend.",2.583333333
"I would feel terribly awkward and moderately irritated with my friend. If socially appropriate I would grab a drink and then try to find a semi-isolated or quiet space to text the friend, asking how long until they got there. I would try to look busy on my phone afterwards, like I was in an important conversation or doing something for work. If my friend responded quickly, and was relatively close by, I would probably relax a bit and see if I knew anyone that I could walk up to and say hi or check out their response to my joining them or their group. If the friend didn't respond or was going to be very late 30 mins or more I would consider just leaving. I would probably give them 30 minutes max before I just left.",1.333333333
"I am not very good at being in places where I don't know anyone, especially a party situation. I would probably go over to where they were serving food and drinks and grab something in order to busy myself until my friend arrived. I would sit at a small table or somewhere off to the side and out of the way. If my friend still wasn't there at this point then I would get out my smartphone and message him to see where he was and when he was getting there. If he was going to be very late, I might leave.",2.416666667
"If I wasn't very familiar with the host and it was a party at their house, I would bring a thank you gift, such as a bottle of wine, and give it to the host. I would let them know that our mutual friend had invited me and that he was running late. I would grab a drink, scan the crowd, and try and find someone I could strike up a conversation with. If everyone else seemed too busy, I would more than likely, pull out my phone and check emails and social media for a few minutes until either my friend arrived or I find someone else to strike up a conversation with.",4.25
"I would feel kind of irked that my friend dragged me to this gathering and then he has not even made the effort to be there when he said he would. I wouldn't get all upset though. I'd just give him a quick call to see if he's still coming, then I'd find the food and the booze and go ahead and try to just mingle and enjoy myself since I'm there and not leaving anytime soon. I might scan the crowd for any other people who seem to be by themselves and go strike up some chit chat with them until my friend arrives.",3.666666667
I would feel very awkward and would attempt to make small talk with the person that is the owner at the house. I would also probably call my friend to figure out where they are at before I go to the house to se if they are just a couple minutes away. If my friend was too far away I may just leave and come back later when they are there so that I do not have to have too long of an awkward interaction with the other person that I do not know. I think that I would rather avoid the awkward social interactions as much as I could.,2.75
"In real life, I would not go to a party like this. I do not like parties. I do not like being around drunk people because it is embarrassing- for them, not me. And I find these are terrible situations to get to know new people. But if by some chance my friend coerced me into going, I'd give him five minutes and then I'd leave. Dude should have shown up on time. I'm not there for me. I'm there for them. And if they don't show, then why am I there? Obviously, as previously stated, parties are not my bag. Not point in me waiting for someone that does not respect what I am doing for them.",1.083333333
"I would feel indifferent. I would probably start by walking around the whole party and see what was going on. See what type of food, drinks, or entertainment was at said party. If the party was really fancy or something I would probably not go up trying to talk to random people however, if it was not a fancy party I would not hesitate to try to meet new people. After talking to people if my friend still had not showed up I would probably just start messing around on my phone. When my friend arrives I would introduce him or her to the people I met.",3.416666667
"I would feel slightly nervous and annoyed. I would sit and wait in the car for my friend to get there. I would say a few prayers and take some deep breaths. I would ask my friend what time she expects to get there and tell her that I will wait outside for her. I will sit in the car on my phone and listen to music as I continue to wait. I would feel only partly annoyed and irritated and I would have thoughts of just leaving and bailing and going home, but I would not do so. I would also be a little tired waiting on her. I may close my eyes to take a short nap or just give my eyes a rest.",2.916666667
"Honestly, I'm extremely shy even in social situations and parties where I know a few people in my own right, so I would more than likely try my hardest to get away to somewhere private and just kind of wait until my friend arrived- the bathroom or the backyard if it was daytime or the weather was nice. I would try to be inconspicuous and play around on my phone or something until my friend arrived. I don't think I would be able to go up to random people and start conversations without my friend being there. I'm just too introverted.",2.666666667
"I would be a little miffed that my friend was late, after all, this was their idea. I would not go in to the party, I would wait in my car and try calling or testing my friend to see where they were at. If security or any one noticed me and came over I would just let them know that I was waiting for my friend so we could go in to the party together. If sitting in the parking lot was not acceptable I would leave. If my friend cannot be on time for their own event then they don't value my time and I would go and do something that I wanted to do.",1
I would initially feel apprehensive and uneasy being around so many people that I don't know. I would probably try to introduce myself to one person and talk with them while waiting for my friend to arrive at the party. I would try to find common ground with the person that I am talking with and hopefully other people will join the group so I can introduce myself to them. If not then I hope the conversation I have with the one person will last until my friend arrives. I would also try calling my friend to see when he will arrive at the party.,5
"Just showed up to the party and realize that my friend hasn't arrived yet. As I look around at the party attendants, I try to gauge how the feeling or mood of the event is. I see a table loaded with snacks and drinks and make my way over to the table. There are other people meandering around the table, so I start up a conversation with one of the ladies. As we're talking, my friend shows up. I introduce him to the woman and it turns out she was his old kindergarten teacher. I reflect back on the few minutes I was there and am glad to have a few minutes to scope out the area, get some food and feel the mood before committing to my friend that night.",3.916666667
"First of all I would definitely feel pretty annoyed with my friend for being late and leaving me in this situation. I would feel socially awkward and anxious being surrounded by all these people that I don't know, especially because I would have been counting on my friend to introduce me to them. I would keep to myself unless somebody else struck up conversation with me, in which case I'd be as friendly as possible and introduce myself. While waiting for my friend I would have a few alcoholic drinks in order to loosen up and be a little more open to socializing.",1.25
"I would feel anxiety. I do not do well is social situations to begin with, so also not knowing anyone, I would be slightly panicked and a little pissed, honestly. I would try and contact the friend immediately to see where she or he is at. Maybe they are running late, or not showing at all. If they were just late I would make the best of it and try to find someone approachable to talk to, waste time until my friend gets there. If they were not able to make it, I would leave. My personality is not likely to stay in that situation.",2.333333333
"Uninviting someone is one of the rudest things you can do to someone. There is no way you can do it politely so don't do it. They will never think of you the same. So, if they matter to you in any way do not tell them not to come. Put yourself in their place and you will understand how it feels. If you invite them by mistake then change your accommodations to account for them. Do not punish them because you screwed up, or have what you think is a better choice. The only way it can be justified is if there are ticket matters with the event that make it impossible for them to attend. If that's the case, be honest with them about it.",2.75
"I would feel a bit awkward in the situation as I have not been formally invited to the function. However, as I do know the person that has been invited I would begin to mingle about. I would first go to the bar and get a drink to loosen up a bit. A bit of food would be nice as I am sure that I would be hungry at that point, so I would look to find the food table or some appetizer trays set about in the party and get something to eat. I would then start looking for someone to talk to. This would be a great chance to meet some new people.",1.666666667
Being in a big crowd is really scary for me because I do not like going out and socializing. So going to this party is really difficult for me and makes me anxious. Seeing my friend is late makes me feel nervous and anxious with these people since I do not know them. I am out of my comfort zone and I feel like an outcast. I will probably wait somewhere outside where there is no people around and wait for my friend for a few minutes. If she did not come then I would go home and just call her to tell her that I cannot wait for her long.,3.166666667
"First, I would look around the room just to be sure I don't recognize anyone. If I don't recognize anyone, I would probably sit back and observe who the host is. Once I identify the host, I would go over and introduce my self and tell the host our mutual friend is on the way. I would start small talk with the host. If the host introduces me to other people at the party, then I could start up a conversation with them and talk until my friend arrives. If the host doesn't introduce me to their friends, I would probably look for the biggest group of people who are talking among each other and walk over to that group. I would try to jump into the conversation. I would feel a bit nervous, but I know how to handle myself in conversations.",3.916666667
"I would be a little irritated with my friend for starters. If the party was important, and I am important as a friend, there are already two good reasons to show up on-time and to keep one's commitments. I would also feel unimportant in the fact that making a 9 pm party is very far outside my normal time for socializing I'm usually getting in to bed at this time which would further compound my frustration with my friend. All that being said, if it's not a party I know directly I would probably hang out outside or in my car, and try to get a hold of my friend to see what might have kept them from being there on-time and to find out a new ETA.",3.083333333
"I would feel very awkward and kind of annoyed. Depending on my mood, I might either stick to the background and hope avoid drawing attention to myself while I wait for my friend to arrive, or I might take command of the situation and approach the host directly and introduce myself. If there was a bar available, I might also head that way and buy something to drink, and maybe talk with others who are doing the same. I might also linger in the crowd, listen in to other conversation, and try to familiarize myself with the types of people I'm with.",2.5
"I would most likely feel very awkward and uncomfortable. I would probably keep to the sides of the room out of everyone's way. I would respond to anyone who strikes up a conversation with me in a friendly manner. Depending on how late my friend was I would consider giving them a call to see how much longer they will be. For the most part I would remain quiet and unassuming, probably spending a lot of time admiring any works of art in the room and trying to remain inconspicuous. I would feel extremely relieved once my friend finally shows up.",1.166666667
"I guess I would feel ok, I usually stay relaxed in that kind of situations. I would probably just go to the bar, ask for a whiskey to help me relax a little bit more, check out the girls in the room, listen to some music, probably do some chit chat with someone while waiting for my friend. Who knows, I might even pick up a chick on the party and next time my friend will for sure not be late as he or she will be left alone. But that surely isn't a situation that would affect me in anyway.",3.25
"I think I'd feel a little anxious even though I know how to handle social situations pretty easily. After feeling nervous for a little bit, I'd find someone at the party who I could identify with and speak to. I'd kind of stick with them, and introduce myself and ask them to help me make some introductions at the party. I'd do my very best to fit in with people there, and not be too much of an outsider. I'd be angry with my friend for putting me in this situation unless they had a very good reason for being late. But overall, I'd still mingle and do my best to impress.",5
Because the fact they are late is not an un common occurrence as it is rather normal for most people to be late to things as the world is an ever revolving door of events and such it is not something we can and will always be able to say with one hundred percent surety that we can will always be and never will be late to events as it can and will happen to the best of us through out life and sometimes it can be bad I would feel understanding and just patiently wait it out for them to finally arrive.,4.666666667
"I would feel mildly annoyed, but I would try to start talking to people and see who is there and if I know anybody. I would probably text or call my friend to see where they are and when they think they will get there. But mostly I would try to start mingling with people and maybe get a drink or something to eat if there was anything available at the party. I would focus on that and on having fun and enjoying myself and less on where my friend was. I would try to find people my friend knows as well to start talking to people. I might stay near the entrance of the party so that I could see my friend when they arrive, or I would text my friend where I am in the party so that they could find me when they get there.",3.5
"This is one of my worst nightmares. I would likely be completely panicked and I would begin to furiously text my friend demanding to know where they were and the exact minute that they plan to arrive at the party. In the meantime, I might scan the room for a familiar face but, probably more likely, I would sneak back outside and wait for my friend at the corner. I would feel full of anxiety and the back of my neck would be hot. If I couldn't find an escape route then I would likely find a corner and pull out my phone and pretend to text or read some news story or something -- to ensure that no one would think to talk to me.",1.916666667
I would most likely sit in my car until my friend arrived. I would park further away so no one can see me in my car. I would listen to music and text my friend for updates every so often. I would make sure there is room next to me so my friend can park. I would not want to go inside as I do not know anyone and wouldn't even know what to do. I may end up even going to the wrong house. Since the host does not know me they probably will not let me in and think I am intruder. It can be really bad if I went in all by myself.,5
I would ask my friend why they are late. Hopefully they have a good explanation for me. This will Determine to see if they have a good excuse of what they have done. Hopefully it is a minor thing and things can be worked out on the spot. I have a habit of always being early so someone being late does bother me a little bit. I do forgive people for being late when it does not happen on a regular basis. This makes things very hard for me when people do not want To treat me in a proper way. It can definitely be hard at times.,4.333333333
